Ref,Val,Package,PosX,PosY,Rot,Side
"C1.1","100nF","C_0805_2012Metric",146.024600,-102.491300,270.000000,top
"C1.2","100nF","C_0805_2012Metric",146.964400,-116.205000,270.000000,top
"C1.3","100nF","C_0805_2012Metric",140.157200,-117.398800,180.000000,top
"C1.4","100nF","C_0805_2012Metric",133.946900,-102.857300,90.000000,top
"C2.1","10uF","C_1206_3216Metric",149.707600,-95.504000,270.000000,top
"C2.2","10uF","C_1206_3216Metric",149.694900,-100.139500,90.000000,top
"D1","LED","LED_0603_1608Metric",131.826000,-119.176800,0.000000,top
"D2","LED","LED_0603_1608Metric",128.625600,-119.151400,180.000000,top
"IC1","XC9572XL-VQ64","TQFP-64_10x10mm_P0.5mm",140.335000,-109.601000,0.000000,top
"R1","330R","R_0402_1005Metric",134.848600,-119.176800,180.000000,top
"R2","150R","R_0402_1005Metric",126.923800,-121.285000,90.000000,top
"R3","2K2","R_0402_1005Metric",127.565000,-101.614000,180.000000,top
"RN1","2K2","R_Array_Concave_4x0402",127.635000,-115.951000,0.000000,top
"RN2","2K2","R_Array_Concave_4x0402",129.921000,-115.951000,0.000000,top
"RN3","2K2","R_Array_Concave_4x0402",127.635000,-109.982000,0.000000,top
"RN4","2K2","R_Array_Concave_4x0402",129.921000,-109.982000,0.000000,top
"RN5","2K2","R_Array_Concave_4x0402",127.635000,-104.140000,0.000000,top
"RN6","2K2","R_Array_Concave_4x0402",129.921000,-104.140000,0.000000,top
"RN7","2K2","R_Array_Concave_4x0402",127.635000,-99.060000,0.000000,top
"RN8","2K2","R_Array_Concave_4x0402",129.921000,-99.060000,0.000000,top
"RN9","2K2","R_Array_Concave_4x0402",127.635000,-94.615000,0.000000,top
"RN10","2K2","R_Array_Concave_4x0402",129.921000,-94.615000,0.000000,top
"RN11","330R","R_Array_Concave_4x0402",151.511000,-117.729000,0.000000,top
"RN12","220R","R_Array_Concave_4x0402",154.055000,-117.729000,0.000000,top
"RN13","330R","R_Array_Concave_4x0402",151.511000,-113.334800,0.000000,top
"RN14","220R","R_Array_Concave_4x0402",154.051000,-113.334800,0.000000,top
"RN15","330R","R_Array_Concave_4x0402",151.511000,-109.220000,0.000000,top
"RN16","220R","R_Array_Concave_4x0402",154.051000,-109.220000,0.000000,top
"RN17","330R","R_Array_Concave_4x0402",151.511000,-106.197400,0.000000,top
"RN18","220R","R_Array_Concave_4x0402",154.051000,-106.197400,0.000000,top
"U2","LM1117-3.3","SOT-223-3_TabPin2",143.611600,-96.443800,180.000000,top
